[email failed] (#AUTH005) Too many bad auth attempts., Friday, Mar 07, 2025 17:03:47
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 17:01:05
[admin login] from source 192.168.1.36, Friday, Mar 07, 2025 16:43:59
[DHCP IP: (192.168.1.27)] to MAC address 98:22:6E:D5:7D:DF, Friday, Mar 07, 2025 16:43:41
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 16:38:07
[DoS attack: RST Scan] from source 45.57.120.190,port 443 Friday, Mar 07, 2025 16:37:09
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 16:36:06
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 16:24:36
[DoS attack: RST Scan] from source 35.212.56.18,port 443 Friday, Mar 07, 2025 16:24:34
[DHCP IP: (192.168.1.36)] to MAC address A8:1D:16:7E:E0:91, Friday, Mar 07, 2025 16:21:18
[DHCP IP: (192.168.1.5)] to MAC address B8:06:0D:A8:F4:A7, Friday, Mar 07, 2025 16:10:54
[DoS attack: Fraggle Attack] from source 97.88.136.1,port 67 Friday, Mar 07, 2025 16:01:27
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 16:01:14
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 16:00:49
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 15:58:57
[DoS attack: Fraggle Attack] from source 97.88.136.1,port 67 Friday, Mar 07, 2025 15:50:44
[DHCP IP: (192.168.1.23)] to MAC address F8:A2:D6:1B:78:54, Friday, Mar 07, 2025 15:43:20
[DoS attack: Fraggle Attack] from source 97.88.136.1,port 67 Friday, Mar 07, 2025 15:39:18
[DHCP IP: (192.168.1.37)] to MAC address C8:7F:54:5C:68:9C, Friday, Mar 07, 2025 15:36:00
[DHCP IP: (192.168.1.28)] to MAC address 50:5A:65:AD:47:BB, Friday, Mar 07, 2025 15:35:57
[DHCP IP: (192.168.1.33)] to MAC address AE:B4:15:76:36:44, Friday, Mar 07, 2025 15:31:44
[DHCP IP: (192.168.1.24)] to MAC address 3A:D6:F9:C8:82:92, Friday, Mar 07, 2025 15:29:44
[DoS attack: Fraggle Attack] from source 97.88.136.1,port 67 Friday, Mar 07, 2025 15:16:27
[DoS attack: snmpQueryDrop] from source 142.93.60.243,port 48890 Friday, Mar 07, 2025 15:12:32
[DoS attack: RST Scan] from source 35.212.56.18,port 443 Friday, Mar 07, 2025 15:12:00
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 15:00:49
[DHCP IP: (192.168.1.58)] to MAC address D2:4F:EB:F9:BA:06, Friday, Mar 07, 2025 15:00:21
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 14:49:45
[DHCP IP: (192.168.1.56)] to MAC address 7E:3A:57:77:3E:E4, Friday, Mar 07, 2025 14:44:33
[DHCP IP: (192.168.1.56)] to MAC address 7E:3A:57:77:3E:E4, Friday, Mar 07, 2025 14:43:30
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 14:30:46
[DoS attack: Fraggle Attack] from source 97.88.136.1,port 67 Friday, Mar 07, 2025 14:26:27
[DHCP IP: (192.168.1.3)] to MAC address F4:B8:98:21:91:6A, Friday, Mar 07, 2025 14:24:06
[DHCP IP: (192.168.1.4)] to MAC address 6C:79:B8:20:68:64, Friday, Mar 07, 2025 14:24:03
[DHCP IP: (192.168.1.34)] to MAC address E0:F6:B5:96:77:6F, Friday, Mar 07, 2025 14:21:06
[DoS attack: RST Scan] from source 35.212.56.18,port 443 Friday, Mar 07, 2025 14:15:30
[DoS attack: Fraggle Attack] from source 97.88.136.1,port 67 Friday, Mar 07, 2025 14:13:36
